Drug	Acute	Chronic	Intravenous	Pleasure	Psychological	Physical	Intoxication	Social harm	Health-care	Schedule
Heroin	2.8	2.5	3	3	3	3	1.6	3	3	1
Cocaine	2	2	3	3	2.8	1.3	1.8	2.5	2.3	2
Barbiturates	2.3	1.9	2.5	2	2.2	1.8	2.4	1.9	1.7	3
Tobacco	0.9	2.9	0	2.3	2.6	1.8	0.8	1.1	2.4	0
Alcohol	1.9	2.4	0	2.3	1.9	1.6	2.2	2.4	2.1	0
Street methadone	2.5	1.7	1.4	1.8	2.3	2.3	1.6	1.9	2	2
Ketamine	2.1	1.7	2.1	1.9	1.7	1	2	1.5	1.5	3
Amphetamine	1.3	1.8	2.4	2	1.9	1.1	1.4	1.5	1.6	2
Benzodiazepines	1.5	1.7	1.8	1.7	2.1	1.8	2	1.5	1.5	4
4-MTA	2.2	2.1	0	1	1.7	0.8	1.2	1	1	1
Buprenorphine	1.2	1.3	2.3	2	1.5	1.5	1.6	1.5	1.4	3
Cannabis	0.9	2.1	0	1.9	1.7	0.8	1.7	1.3	1.5	1
Solvents	2.1	1.7	0	1.7	1.2	0.1	1.9	1.5	1.2	0
Ecstasy	1.6	1.6	0	1.5	1.2	0.7	1.2	1	1.1	1
Methylphenidate	1.2	1.3	1.6	1.4	1.3	1	1.1	0.8	1.1	2
GHB	1.4	1.2	0	1.4	1.1	1.1	1.4	1.3	1.2	1
LSD	1.7	1.4	0.3	2.2	1.1	0.3	1.6	1.3	1.1	1
Anabolic steroids	0.8	2	1.7	1.1	0.8	0.8	1.3	0.8	1.3	3
Khat	0.3	1.2	0	1.6	1.2	0.3	0.7	1.1	0.8	1
Alkyl nitrites	1.6	0.9	0.3	1.6	0.7	0.3	0.8	0.7	1.4	0
