Sample	frameshift_variant	inframe_deletion	inframe_insertion	splice_acceptor_variant	splice_donor_variant	start_lost	stop_gained	stop_lost	Grand Total	Site	missense_variant	Patient
WCM12_BR_3	18	17	2	4	7	0	2	0	50	Brain	101	WCM12
WCM12_BR_2	19	9	2	6	7	0	3	0	46	Brain	93	WCM12
WCM1024_BR_1	11	4	2	2	7	1	0	1	28	Brain	41	WCM1024
WCM1358_BR_1	7	6	1	4	2	0	4	0	24	Brain	43	WCM1358
WCM2086_BR_1	11	2	1	0	3	1	6	0	24	Brain	67	WCM2086
WCM493_BR_1	8	4	1	2	1	0	3	0	19	Brain	66	WCM493
WCM428_BR_1	11	2	0	3	2	0	0	0	18	Brain	36	WCM428
WCM1207_BR_1	6	3	1	0	2	1	4	0	17	Brain	47	WCM1207
WCM191_BR_1	7	1	0	3	1	1	4	0	17	Brain	61	WCM191
WCM223_BR_1	7	2	1	1	1	0	2	0	14	Brain	41	WCM223
WCM1207_LV_1	17	5	4	1	2	1	6	0	36	Liver	36	WCM1207
WCM159_LN_1	7	11	2	0	10	0	2	1	33	Lymph_node	28	WCM159
WCM63_LG_3	8	5	0	3	2	1	8	0	27	Lung	85	WCM63
WCM63_LV_2	10	1	0	5	0	0	6	0	22	Liver	96	WCM63
WCM677_BN_1	4	3	0	0	4	1	4	0	16	Bone	43	WCM677
WCM1388_LV_1	10	0	1	1	1	0	3	0	16	Liver	72	WCM1388
WCM89_LN_1	4	5	0	0	2	0	4	0	15	Lymph_node	26	WCM89
WCM1358_LN_2	4	4	0	1	0	0	6	0	15	Lymph_node	70	WCM1358
WCM59_LV_1	1	7	0	1	3	1	1	0	14	Liver	45	WCM59
WCM677_LV_2	5	2	0	0	4	0	3	0	14	Liver	50	WCM677
WCM0_LV_2	4	1	0	2	2	0	4	0	13	Liver	67	WCM0
WCM90_LV_1	1	6	0	3	1	0	1	0	12	Liver	37	WCM90
WCM677_LG_4	4	2	0	0	1	0	5	0	12	Lung	48	WCM677
WCM677_LN_3	5	2	0	0	1	0	4	0	12	Lymph_node	49	WCM677
WCM1358_PP_3	5	2	0	1	1	0	3	0	12	Lymph_node	54	WCM1358
WCM0_LV_1	5	0	0	0	2	0	4	0	11	Liver	60	WCM0
WCM1358_LV_1	3	2	0	1	0	2	3	0	11	Liver	60	WCM1358
WCM90_LN_2	4	2	1	0	1	0	3	0	11	Lymph_node	32	WCM90
WCM159_LG_4	5	3	0	0	1	1	0	0	10	Lung	28	WCM159
WCM1232_LN_1	5	1	0	2	1	0	1	0	10	Lymph_node	37	WCM1232
WCM159_AG_2	4	2	0	0	3	0	0	0	9	Adrenal_gland	22	WCM159
WCM1232_LN_2	4	1	0	3	1	0	0	0	9	Lymph_node	45	WCM1232
WCM90_LN_1	2	2	0	0	2	0	1	0	7	Lymph_node	35	WCM90
WCM1_BN_1	3	1	0	1	0	0	1	0	6	Bone	26	WCM1
WCM7_LV_1	2	1	0	0	3	0	0	0	6	Liver	33	WCM7
WCM159_LN_3	4	1	0	0	1	0	0	0	6	Lymph_node	28	WCM159
WCM12_PR_1	22	10	1	10	12	0	12	1	68	Prostate	210	WCM12
WCM4_PR_1	11	1	0	6	6	0	7	1	32	Prostate	88	WCM4
WCM223_PR_1	10	2	2	3	4	1	5	0	27	Prostate	36	WCM223
WCM63_PR_1	4	10	0	2	2	0	2	1	21	Prostate	30	WCM63
WCM63_PR_2	5	3	0	1	2	1	6	1	19	Prostate	132	WCM63
WCM159_PR_1	2	2	0	0	2	0	0	0	6	Prostate	19	WCM159
