Sample	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
10	0	0.0953219075177036	0.272150024840739	0	0	0	0	0	0.232576717032712	0	0.399951350608846
11	0.0228955050355941	0.060081453823602	0.213588717759324	0	0.70343432338148	0	0	0	0	0	0
2	0	0.247584430349634	0.0183824653321774	0	0	0	0	0	0.206529040708144	0	0.527504063610044
3	0	0.0994404383729377	0.241080391018958	0	0.57326027847777	0	0	0	0.0862188921303348	0	0
4	0	0.0950392692707759	0.229835020348492	0	0.62766761749757	0	0	0	0.0474580928831623	0	0
5	0	0.0831018771206329	0.21666511959077	0	0.660211900656534	0	0.0400211026320631	0	0	0	0
6	0.518951984818116	0	0.0965640959136448	0	0	0	0	0	0.153279658300329	0	0.23120426096791
7	0	0.18193951940695	0.198962913533671	0.03131360926238	0.53153154700666	0.0562524107903401	0	0	0	0	0
8	0	0.118650005411858	0.205667861940805	0	0.552605660614612	0.0708954565860874	0	0	0.0521810154466376	0	0
9	0	0	0.27178770492135	0	0	0	0	0	0.72821229507865	0	0
