Year	January	February	March	April	May	June	July	August	September	October	November	December
1994	620.3	722.5	97.3	252.4	57.3	64.0	49.2	64.6	26.2	42.7	24.6	67.9
1995	140.6	760.4	598.0	35.2	158.8	86.3	8.4	159.1	7.5	74.1	113.2	62.8
1996	454.3	434.1	640.9	328.2	96.2	95.6	56.7	7.4	4.5	244.7	13.9	252.8
1997	488.0	474.4	387.6	142.3	49.3	61.9	22.9	75.8	43.9	56.1	154.1	359.2
1998	536.8	518.5	150.2	156.9	151.8	38.8	24.4	126.9	117.1	76.3	173.5	199.5
1999	369.3	859.6	961.8	328.2	33.5	48.4	57.2	67.5	118.2	53.3	262.7	141.5
2000	126.0	1476.5	555.3	551.0	59.5	33.8	9.2	72.7	9.7	46.7	179.0	596.7
2001	349.3	939.0	215.8	174.1	3.5	90.4	5.2	15.5	37.5	72.7	71.1	67.5
2002	180.7	278.7	71.9	255.8	103.1	3.5	70.0	56.0	12.4	0.0	47.5	74.2
2003	285.7	171.0	225.9	247.9	113.6	60.2	45.6	31.1	1.5	17.1	28.8	265.6
2004	349.7	735.5	1333.5	326.5	57.0	49.5	50.2	3.0	27.5	33.0	94.5	346.9
2005	588.0	172.0	670.5	249.0	21.5	47.0	87.0	111.0	7.0	11.0	24.5	45.5
2006	502.0	399.0	867.0	765.0	85.0	179.5	84.5	15.5	87.0	106.0	23.0	94.0
2007	254.5	894.5	297.0	116.0	196.5	76.0	22.5	26.5	4.0	67.5	93.5	245.0
2008	520.0	599.0	773.0	14.0	78.0	27.0	79.0	3.5	68.0	91.5	199.0	209.5
2009	1093.0	631.0	130.0	265.5	106.0	11.5	10.5	6.0	10.5	48.0	332.0	950.0
2010	738.5	307.0	481.0	376.0	51.0	18.0	56.5	87.5	100.5	293.0	291.0	478.5
2011	522.0	1086.0	418.5	80.0	26.0	50.5	6.5	19.0	22.5	519.5	123.5	283.0
2012	379.5	333.0	920.0	179.0	200.5	17.5	65.0	25.5	26.5	58.0	49.5	52.0
2013	529.0	200.0	240.0	107.5	318.0	34.5	89.0	12.0	38.0	53.5	185.5	94.0
2014	440.5	472.5	452.5	437.0	179.0	159.0	19.0	36.5	4.0	20.5	23.5	18.5
2015	209.5	816.0	298.0	110.0	43.0	264.0	33.0	11.5	41.0	74.5	124.0	415.5
2016	152.0	149.0	232.0	196.0	198.0	101.5	110.5	46.0	84.5	18.5	32.5	88.5
2017	357.5	641.0	128.5	245.5	76.5	37.5	83.0	3.5	74.0	228.0	108.0	52.5
2018	596.5	534.5	1207.5	101.0	12.0	57.0	56.0	4.0	12.0	21.5	18.0	1015.5
