Sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
1	0	0.0532293386204979	0	0	0.0551906679430148	0	0.0364264260666648	0	0	0	0	0	0	0	0.0618140730610221	0	0	0	0.052813932275335	0	0.0757279611843751	0.0249118155891425	0	0.0355240377433961	0.0136111591909484	0	0	0	0	0	0	0	0	0	0.0131133682564784	0	0.0115231459268542	0	0.0279792729379074	0	0.0174024677817084	0	0	0.0248535685416147	0.0510340087164414	0.0423348451898531	2.89594485712042e-08	0	0	0	0.0105632822405756	0	0	0	0	0	0.0410809031699574	0	0.00946136236305306	0	0	0	0.0693519903809292	0.0651617802905457	0.0238194874636285	0	0	0	0	0	0.0152516915655615	0	0.0674858849868943	0.100333499554152	0	0	0	0
10	0.124790781259767	0.0469814879664296	0	0	0	0	0.0195133068136834	0	0	0	0	0	0.0136540402390461	0	0	0	0	0.00461015072097129	0.0247192030061036	0.0198931049951747	0.0699923103128152	0	0	0.0129596046484924	0.14718126953711	0.00479868614396889	0.00572784312957067	0	0	0	0	0.00996046247632693	0	0	0	0.0206025621617303	0.0232708725443085	0.094060961317805	0	0	0	0.0363470104555619	0	0	0.0160133698369741	0.0054963915450405	0.176442010280293	0	0	0	0.0196153320106309	0	0.0092531230255475	0.0107154638263761	0	0	0.00711345714250386	0	0	0.003889591763209	0	0	0	0.0129071931557772	0.0391531353833881	0	0	0	0	0	0	0	0	0.0203372743013935	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156372975913525	0	0	0	0	0	0	0	0	0	0	0.833417283638355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01020974044812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.128351285074567	0.165713755585498	0	0	0.0217195228175352	0	0.0131560867556981	0	0	0	0.0623250303814535	0	0	0.00573733972620707	0	0	0	0.0324963359220832	0.15890940309543	0	0.0313327061314274	0.0387524186597616	0	0	0.00316808396784857	0.02265124965143	0	0	0	0.0021311331042259	0	0	0	0	0	0.0224243326974273	0.0615269279917437	0.0166450212825583	0.00820229671600251	0	0	0	0	0	0	0	0.0758415302445657	0.0134281035876163	0.0329590690456009	0	0.0108235422116855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00399584925200219	0.042234345444528	0	0	0.00651196279185086	0	0	0	0.0189626678612526	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116012375313838	0	0	0	0	0	0	0.111533265113363	0	0	0	0	0	0	0	0	0	0	0.800919377839513	0	0	0	0.0759461195157411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109706788692449	0	0	0	0	0	0	0	0	0	0	0.878574971087405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117182402201463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105728932415596	0	0	0	0	0	0	0.207279388234215	0	0	0	0	0	0	0	0	0	0	0.73437857363944	0	0	0	0.047769144884786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.072112826085975	0.0639283097160098	0	0	0.00852261947195215	0	0	0	0	0	0.0278985410953346	0.00878405132023816	0	0.0244798163143504	0.10168209533635	0	0	0.0133926233179537	0.106478815049989	0	0.0330830693845371	0	0.01036577356943	0.0160338196372085	0.0871325385847916	0.00719173558104736	0.0113093937861656	0	0	0	0	0	0	0	0	0.034166864442424	0.0327207424508598	0	0.00490753930297404	0	0.0226234659002082	0.0245478305206307	0	0	0	0.0316846683247249	0.0447124651130902	0.00732809364309558	0	0	0.0204397223760659	0	0	2.86411517006709e-08	0	0	0.039594098184999	0	0.00314688446614612	0	0	0	0	0	0.0444132452467595	0.0122575351571999	0	0	0	0	0.0197276463329787	0	0	0.0108660057899151	0	0.0410687761688274	0.0133983596866162	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449638347081209	0	0	0	0	0	0	0.139603756081507	0	0	0	0	0	0	0	0	0	0	0.593006057854332	0	0	0	0.210532639590838	0	0	0.0118937117652027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0872112187347878	0	0	0	0	0	0	0	0	0	0	0.889766800752827	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023021980512385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0.0400526956789099	0	0	0	0.0890061004370114	0.0595087234375638	0	0	0	0	0.0214228987095245	0	0.0130431631727341	0	0.0520109555465121	0	0	0	0	0	0	0	0	0	0.103703498640784	0	0	0.0179865948117307	0	0	0	0	0	0	0	0.046544172814388	0.0957067009676299	0	0	0	0.0373810939030175	0	0.00593064047956872	0	0	0	0.0720782339202621	0	0	0	0	0	0.0289954215538887	0	0.00943609162951668	0	0.0315521022414248	0	0	0	0	0	0	0	0.11921517375362	0.00741071656587767	0	0	0	0.0299660513805799	0.0535474541338594	0	0	0.0183906556444722	0	0	0.0471108605771242	0
